,File_Name,Cluster_Label_A,Cluster_Label_B,File_Path,best_k_value
97,24635cf29fe699ad095b0772d4c4cdb72ab58534.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/2/4/6/24635cf29fe699ad095b0772d4c4cdb72ab58534.bin,"[2, 1, 1, 7]"
98,203f774ea2c1e61dfb373c95d65e2ce50c1e572e.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/2/0/3/203f774ea2c1e61dfb373c95d65e2ce50c1e572e.bin,"[2, 1, 1, 7]"
99,268ee1073d4300a9af81bad2582efe784dd0653c.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/2/6/8/268ee1073d4300a9af81bad2582efe784dd0653c.bin,"[2, 1, 1, 7]"
100,26e04832e947a0e7838b099b83eb572dbbe58f72.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/2/6/e/26e04832e947a0e7838b099b83eb572dbbe58f72.bin,"[2, 1, 1, 7]"
101,27778064bd48c68816e3fe7138f80b423a3effeb.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/2/7/7/27778064bd48c68816e3fe7138f80b423a3effeb.bin,"[2, 1, 1, 7]"
102,da870ed78a668c73217e319fc2ace9a91b91b728.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/a/8/da870ed78a668c73217e319fc2ace9a91b91b728.bin,"[2, 1, 1, 7]"
103,db72d59f8662c676c5e0c7dd48fd9df37e2a5578.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/b/7/db72d59f8662c676c5e0c7dd48fd9df37e2a5578.bin,"[2, 1, 1, 7]"
104,d1e39f9ac63d4bd1523c3e7ca899481cea262698.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/1/e/d1e39f9ac63d4bd1523c3e7ca899481cea262698.bin,"[2, 1, 1, 7]"
105,d15735ff0e3eaa05f6abe16ae4ac5c62d52ed2bd.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/1/5/d15735ff0e3eaa05f6abe16ae4ac5c62d52ed2bd.bin,"[2, 1, 1, 7]"
106,dfe465ce7b89a44962982b7e24410e03dd4f8890.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/f/e/dfe465ce7b89a44962982b7e24410e03dd4f8890.bin,"[2, 1, 1, 7]"
107,df5e73e04e5a26f7013bfd0f531ea7c8b199c92b.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/f/5/df5e73e04e5a26f7013bfd0f531ea7c8b199c92b.bin,"[2, 1, 1, 7]"
108,df560f0f99c4cad34183786f5145351fdeb48d21.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/f/5/df560f0f99c4cad34183786f5145351fdeb48d21.bin,"[2, 1, 1, 7]"
109,d46ab2a2c1259cd0c8a98bc5b309735c3c4de0a9.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/d/4/6/d46ab2a2c1259cd0c8a98bc5b309735c3c4de0a9.bin,"[2, 1, 1, 7]"
